Station Name,Address,Status,Waiting Time,Type,Coordinates,Charging Type,Power Level (kW)
Tesla Supercharger - West Sacramento,4055 Lake Road,N/A,Unknown,N/A,"38.57259, -121.579743",N/A,250
Milpitas Square Supercharger,432 Barber Ln,N/A,Unknown,N/A,"37.421613339457295, -121.91745189835473",N/A,250
Sunoco Pleasant Ridge,23701 Woodward Ave,N/A,Unknown,N/A,"42.468610180594055, -83.14073053617967",N/A,240
Gazal Eyecare ,76 Norcross Street,N/A,Unknown,N/A,"34.024821852420615, -84.35867881951971",N/A,11.5
Ace Hardware,2106 M-76,N/A,Unknown,N/A,"44.27413144565011, -84.22207191395444",N/A,200
Exxon,1331 142nd Ave,N/A,Unknown,N/A,"42.72507868868996, -85.67648990740213",N/A,200
"Thorntons #318 West Chicago, IL",1330 S Neltnor Blvd,N/A,Unknown,N/A,"41.86328695566951, -88.19591539291429",N/A,150
"Thorntons #9 - Addison, IL",800 West Lake Street,N/A,Unknown,N/A,"41.94139, -88.00939",N/A,150
"Thorntons #122 - Elk Grove Village, IL",2310 York Road,N/A,Unknown,N/A,"41.988605, -87.939854",N/A,150
"Thorntons #344 - McHenry, IL",2108 West Route 120,N/A,Unknown,N/A,"42.342611000352036, -88.23895674760422",N/A,150
"Thorntons #343 - Crystal Lake, IL",911 Tek Drive,N/A,Unknown,N/A,"42.214787733373356, -88.28739515356922",N/A,150
"Thornton #119 - Lake in the Hills, IL",2265 W. Algonquin Road,N/A,Unknown,N/A,"42.17516751694956, -88.329960670687",N/A,150
"Thorntons #315 - Aurora, IL",2609 N Farnsworth Ave,N/A,Unknown,N/A,"41.80675462931114, -88.28056519916004",N/A,150
"Thorntons #301 - Summit, IL",5900 S Harlem Ave,N/A,Unknown,N/A,"41.78387348078061, -87.80198574424912",N/A,150
"Thorntons #163 - Louisville, KY",3255 Bardstown Road,N/A,Unknown,N/A,"38.20894843400049, -85.66873604835689",N/A,150
"Thorntons #26 - Louisville, KY",14101 Shelbyville Road,N/A,Unknown,N/A,"38.23924219818619, -85.48760433371751",N/A,150
Seasons Motel,200 Westlake Ave,N/A,Unknown,N/A,"46.55307807210562, -122.27627683700507",N/A,62
Belden Park Crossings,5496 Dressler Road,N/A,Unknown,N/A,"40.8611490891324, -81.43317895040481",N/A,350
Cherry Creek Shopping Center,3000 E 1st Avenue,N/A,Unknown,N/A,"39.71640509517829, -104.95042511447662",N/A,350
Tesla Supercharger - Eastgate Road - Barstow,1505 Eastgate Road,N/A,Unknown,N/A,"34.89360745498462, -117.00230242449362",N/A,250
"Thortons #95 Louisville, KY",13314 Shelbyville Road,N/A,Unknown,N/A,"38.24201366280781, -85.5092603527977",N/A,150
"Thorntons #1 - New Albany, IN",2250 State Street,N/A,Unknown,N/A,"38.30806632279362, -85.84205293957926",N/A,150
"Thorntons #611 Nashville, TN",2815 Lebanon Pike,N/A,Unknown,N/A,"36.16679, -86.66245",N/A,150
"BP - Rams Cafe - Petersburg, VA",12600 S Crater Road,N/A,Unknown,N/A,"37.13862800000051, -77.35567499999993",N/A,150
EV Fast Charge Network Site at Camp Jordan,655 Camp Jordan Parkway,N/A,Unknown,N/A,"34.991164932511396, -85.2000361400211",N/A,240
Costco,3125 Queensgate Drive,N/A,Unknown,N/A,"46.26076, -119.315738",N/A,N/A
Tesla @ Clinton Station Diner,2 Bank Street,N/A,Unknown,N/A,"40.633658574672125, -74.93734830939354",N/A,250
EvGo GM Energy ,2210 Camp Swatara Road,N/A,Unknown,N/A,"40.462954413047584, -76.33915843095373",N/A,350
"Love's Travel Stop #366 Jonestown, PA",22 Old Forge Road,N/A,Unknown,N/A,"40.449839961997014, -76.51520792927442",N/A,320
"Buc-kees #58 – Auburn, AL ",2500 Buc-ee’s Blvd,N/A,Unknown,N/A,"32.55209099999874, -85.52663600000102",N/A,400
"Buck-ee's #62 – Springfield, MO",3284 N Beaver Road,N/A,Unknown,N/A,"37.252319, -93.18096",N/A,400
" Buc-ee's #17 – Luling, TX ",10070 West IH 10,N/A,Unknown,N/A,"29.65014000531538, -97.59345379309245",N/A,400
