Station Name,Address,Status,Waiting Time,Coordinates,Charging Type,Power Level (kW),Chargers per Site,Labor,Materials,Permit,Taxes,Total
"Thorntons #318 West Chicago, IL",1330 S Neltnor Blvd,,Unknown,"41.86328695566951, -88.19591539291429",,150.0,6-20 chargers per site,"$7,560","$10,920",$53,$45,"$18,577"
"Thorntons #9 - Addison, IL",800 West Lake Street,,Unknown,"41.94139, -88.00939",,150.0,1 charger per site,"$20,160","$27,300",$210,$111,"$47,781"
"Thorntons #9 - Addison, IL",800 West Lake Street,,Unknown,"41.94139, -88.00939",,150.0,2 chargers per site,"$15,960","$21,840",$158,$89,"$38,047"
"Thorntons #9 - Addison, IL",800 West Lake Street,,Unknown,"41.94139, -88.00939",,150.0,3-5 chargers per site,"$11,760","$16,380",$105,$67,"$28,312"
"Thorntons #9 - Addison, IL",800 West Lake Street,,Unknown,"41.94139, -88.00939",,150.0,6-20 chargers per site,"$7,560","$10,920",$53,$45,"$18,577"
"Thorntons #122 - Elk Grove Village, IL",2310 York Road,,Unknown,"41.988605, -87.939854",,150.0,1 charger per site,"$20,160","$27,300",$210,$111,"$47,781"
"Thorntons #122 - Elk Grove Village, IL",2310 York Road,,Unknown,"41.988605, -87.939854",,150.0,2 chargers per site,"$15,960","$21,840",$158,$89,"$38,047"
"Thorntons #122 - Elk Grove Village, IL",2310 York Road,,Unknown,"41.988605, -87.939854",,150.0,3-5 chargers per site,"$11,760","$16,380",$105,$67,"$28,312"
"Thorntons #122 - Elk Grove Village, IL",2310 York Road,,Unknown,"41.988605, -87.939854",,150.0,6-20 chargers per site,"$7,560","$10,920",$53,$45,"$18,577"
"Thorntons #344 - McHenry, IL",2108 West Route 120,,Unknown,"42.342611000352036, -88.23895674760422",,150.0,1 charger per site,"$20,160","$27,300",$210,$111,"$47,781"
"Thorntons #344 - McHenry, IL",2108 West Route 120,,Unknown,"42.342611000352036, -88.23895674760422",,150.0,2 chargers per site,"$15,960","$21,840",$158,$89,"$38,047"
"Thorntons #344 - McHenry, IL",2108 West Route 120,,Unknown,"42.342611000352036, -88.23895674760422",,150.0,3-5 chargers per site,"$11,760","$16,380",$105,$67,"$28,312"
"Thorntons #344 - McHenry, IL",2108 West Route 120,,Unknown,"42.342611000352036, -88.23895674760422",,150.0,6-20 chargers per site,"$7,560","$10,920",$53,$45,"$18,577"
"Thorntons #343 - Crystal Lake, IL",911 Tek Drive,,Unknown,"42.214787733373356, -88.28739515356922",,150.0,1 charger per site,"$20,160","$27,300",$210,$111,"$47,781"
"Thorntons #343 - Crystal Lake, IL",911 Tek Drive,,Unknown,"42.214787733373356, -88.28739515356922",,150.0,2 chargers per site,"$15,960","$21,840",$158,$89,"$38,047"
"Thorntons #343 - Crystal Lake, IL",911 Tek Drive,,Unknown,"42.214787733373356, -88.28739515356922",,150.0,3-5 chargers per site,"$11,760","$16,380",$105,$67,"$28,312"
"Thorntons #343 - Crystal Lake, IL",911 Tek Drive,,Unknown,"42.214787733373356, -88.28739515356922",,150.0,6-20 chargers per site,"$7,560","$10,920",$53,$45,"$18,577"
"Thornton #119 - Lake in the Hills, IL",2265 W. Algonquin Road,,Unknown,"42.17516751694956, -88.329960670687",,150.0,1 charger per site,"$20,160","$27,300",$210,$111,"$47,781"
"Thornton #119 - Lake in the Hills, IL",2265 W. Algonquin Road,,Unknown,"42.17516751694956, -88.329960670687",,150.0,2 chargers per site,"$15,960","$21,840",$158,$89,"$38,047"
"Thornton #119 - Lake in the Hills, IL",2265 W. Algonquin Road,,Unknown,"42.17516751694956, -88.329960670687",,150.0,3-5 chargers per site,"$11,760","$16,380",$105,$67,"$28,312"
"Thornton #119 - Lake in the Hills, IL",2265 W. Algonquin Road,,Unknown,"42.17516751694956, -88.329960670687",,150.0,6-20 chargers per site,"$7,560","$10,920",$53,$45,"$18,577"
"Thorntons #315 - Aurora, IL",2609 N Farnsworth Ave,,Unknown,"41.80675462931114, -88.28056519916004",,150.0,1 charger per site,"$20,160","$27,300",$210,$111,"$47,781"
"Thorntons #315 - Aurora, IL",2609 N Farnsworth Ave,,Unknown,"41.80675462931114, -88.28056519916004",,150.0,2 chargers per site,"$15,960","$21,840",$158,$89,"$38,047"
"Thorntons #315 - Aurora, IL",2609 N Farnsworth Ave,,Unknown,"41.80675462931114, -88.28056519916004",,150.0,3-5 chargers per site,"$11,760","$16,380",$105,$67,"$28,312"
"Thorntons #315 - Aurora, IL",2609 N Farnsworth Ave,,Unknown,"41.80675462931114, -88.28056519916004",,150.0,6-20 chargers per site,"$7,560","$10,920",$53,$45,"$18,577"
"Thorntons #301 - Summit, IL",5900 S Harlem Ave,,Unknown,"41.78387348078061, -87.80198574424912",,150.0,1 charger per site,"$20,160","$27,300",$210,$111,"$47,781"
"Thorntons #301 - Summit, IL",5900 S Harlem Ave,,Unknown,"41.78387348078061, -87.80198574424912",,150.0,2 chargers per site,"$15,960","$21,840",$158,$89,"$38,047"
"Thorntons #301 - Summit, IL",5900 S Harlem Ave,,Unknown,"41.78387348078061, -87.80198574424912",,150.0,3-5 chargers per site,"$11,760","$16,380",$105,$67,"$28,312"
"Thorntons #301 - Summit, IL",5900 S Harlem Ave,,Unknown,"41.78387348078061, -87.80198574424912",,150.0,6-20 chargers per site,"$7,560","$10,920",$53,$45,"$18,577"
"Thorntons #163 - Louisville, KY",3255 Bardstown Road,,Unknown,"38.20894843400049, -85.66873604835689",,150.0,1 charger per site,"$20,160","$27,300",$210,$111,"$47,781"
"Thorntons #163 - Louisville, KY",3255 Bardstown Road,,Unknown,"38.20894843400049, -85.66873604835689",,150.0,2 chargers per site,"$15,960","$21,840",$158,$89,"$38,047"
"Thorntons #163 - Louisville, KY",3255 Bardstown Road,,Unknown,"38.20894843400049, -85.66873604835689",,150.0,3-5 chargers per site,"$11,760","$16,380",$105,$67,"$28,312"
