station_id,latitude,longitude,num_chargers,charger_speed,coverage,average_vehicle_distance_km
309168,34.992387083464536,-117.54076618034144,1.0,200.0,201855.1891002232,332.14021779992026
309167,35.34016706276604,-118.84278367046278,1.0,200.0,206246.0173357525,306.4287823802965
309166,34.495881662744,-118.62590990468692,1.0,200.0,208001.54165158383,304.92669177201293
309165,34.818293627961324,-118.88226842347608,1.0,200.0,207992.0318725505,304.42505795029086
309164,34.82380112806031,-118.87842964217847,1.0,200.0,207955.18262157825,304.39474598275643
309163,35.98712411066941,-119.96286721735132,1.0,200.0,210075.61465077373,315.41889479216843
309162,37.10459785786704,-121.01520227620512,1.0,200.0,213134.72875768325,343.9444473990268
309161,38.0519574856867,-121.37390710274916,1.0,200.0,213826.81696943028,382.28684393209585
309160,38.114984,-121.394141,1.0,200.0,213900.264284924,386.0005299276899
309142,29.32564972113903,-96.12266805136898,10.0,400.0,168265.7048238119,2327.3435569867693
309135,37.642403423206346,-122.40350615876116,4.0,120.0,220484.87646076252,400.4430875134468
309134,37.56776288296968,-84.3063031460672,1.0,180.0,142605.2330212116,3150.6110902249766
309101,32.06392892572525,-84.25304860290669,1.0,62.0,153511.51806836386,3285.0747801672205
309100,32.2824029999976,-83.46476299999767,1.0,62.0,154089.07351577538,3348.662420629586
309088,32.09036761630553,-84.6667086218339,1.0,62.5,152808.41204187958,3247.1206634865603
309087,33.29357762562715,-85.47827818361208,1.0,80.0,147683.3906352976,3137.8418810458734
309078,38.78429739017122,-121.28397801736388,4.0,19.2,213339.33678808936,427.97339527260374
309077,38.78404882954598,-121.2819677202544,4.0,19.2,213328.53553579596,427.9251734905812
309075,42.43093986125078,-83.4242923586132,2.0,60.0,150866.74041017157,3195.8511862296136
309072,44.28445990895344,-73.98751574892695,4.0,200.0,193652.23059266587,3952.5293295494976
309071,43.08273774135395,-79.05920344864197,4.0,200.0,166725.53564244803,3550.4256687293905
309059,42.59089235729451,-83.48661256861095,2.0,180.0,151300.32985227834,3191.1534753640385
309051,37.55283996698718,-121.9790903232084,1.0,350.0,217882.20750150608,378.3428451970466
