Id,Coordinates,Power Level (kW),Chargers per Site,Cost
143,"38.63271799995502, -121.32928859883526",350,3-5 chargers per site,"$39,097"
144,"38.63271799995502, -121.32928859883526",350,3-5 chargers per site,"$25,654"
145,"39.583646212578884, -85.8186242805844",350,1 charger per site,"$65,984"
146,"39.583646212578884, -85.8186242805844",350,2 chargers per site,"$52,541"
147,"39.583646212578884, -85.8186242805844",350,3-5 chargers per site,"$39,097"
148,"39.583646212578884, -85.8186242805844",350,3-5 chargers per site,"$25,654"
149,"33.1168039997027, -95.63459232819564",350,1 charger per site,"$65,984"
150,"33.1168039997027, -95.63459232819564",350,2 chargers per site,"$52,541"
151,"33.1168039997027, -95.63459232819564",350,3-5 chargers per site,"$39,097"
152,"33.1168039997027, -95.63459232819564",350,3-5 chargers per site,"$25,654"
153,"30.115985569863966, -93.82016398089681",350,1 charger per site,"$65,984"
154,"30.115985569863966, -93.82016398089681",350,2 chargers per site,"$52,541"
155,"30.115985569863966, -93.82016398089681",350,3-5 chargers per site,"$39,097"
156,"30.115985569863966, -93.82016398089681",350,3-5 chargers per site,"$25,654"
157,"38.87941678094586, -97.59303775379124",350,1 charger per site,"$65,984"
158,"38.87941678094586, -97.59303775379124",350,2 chargers per site,"$52,541"
159,"38.87941678094586, -97.59303775379124",350,3-5 chargers per site,"$39,097"
160,"38.87941678094586, -97.59303775379124",350,3-5 chargers per site,"$25,654"
161,"37.45968254424382, -122.13866251399793",350,1 charger per site,"$65,984"
162,"37.45968254424382, -122.13866251399793",350,2 chargers per site,"$52,541"
163,"37.45968254424382, -122.13866251399793",350,3-5 chargers per site,"$39,097"
164,"37.45968254424382, -122.13866251399793",350,3-5 chargers per site,"$25,654"
165,"33.321934970288794, -87.04774733031405",350,1 charger per site,"$65,984"
166,"33.321934970288794, -87.04774733031405",350,2 chargers per site,"$52,541"
167,"33.321934970288794, -87.04774733031405",350,3-5 chargers per site,"$39,097"
168,"33.321934970288794, -87.04774733031405",350,3-5 chargers per site,"$25,654"
169,"38.85832381125027, -84.62585522047644",350,1 charger per site,"$65,984"
170,"38.85832381125027, -84.62585522047644",350,2 chargers per site,"$52,541"
171,"38.85832381125027, -84.62585522047644",350,3-5 chargers per site,"$39,097"
172,"38.85832381125027, -84.62585522047644",350,3-5 chargers per site,"$25,654"
