Date,ZIP Code,Model Year,Fuel,Make,Duty,Vehicles,ZIP,latitude,longitude
12/31/2023,90005,2019,Battery Electric,TESLA,Light,19,90005,34.0593736,-118.3089617
12/31/2023,91406,2019,Battery Electric,TESLA,Light,30,91406,34.1978905,-118.4899087
12/31/2023,90807,2019,Battery Electric,TESLA,Light,28,90807,33.8309693,-118.1811384
12/31/2023,91104,2019,Battery Electric,TESLA,Light,45,91104,34.1676428,-118.1234329
12/31/2023,90017,2019,Battery Electric,TESLA,Light,17,90017,34.0530983,-118.2645052
12/31/2023,90504,2019,Battery Electric,TESLA,Light,42,90504,33.8669375,-118.3313538
12/31/2023,91755,2019,Battery Electric,TESLA,Light,33,91755,34.0483341,-118.114937
12/31/2023,90715,2020,Battery Electric,TESLA,Light,15,90715,33.8403268,-118.0788295
12/31/2023,90230,2020,Battery Electric,TESLA,Light,66,90230,33.9969705,-118.3947783
12/31/2023,90069,2020,Battery Electric,TESLA,Light,54,90069,34.0939535,-118.3815305
12/31/2023,90706,2020,Battery Electric,TESLA,Light,31,90706,33.8880236,-118.1270875
12/31/2023,90041,2021,Battery Electric,TESLA,Light,91,90041,34.137546,-118.2074407
12/31/2023,90094,2021,Battery Electric,TESLA,Light,140,90094,33.9752679,-118.4182681
12/31/2023,90501,2021,Battery Electric,TESLA,Light,110,90501,33.8336078,-118.3142124
12/31/2023,90002,2021,Battery Electric,TESLA,Light,12,90002,33.9489868,-118.2467796
12/31/2023,90022,2021,Battery Electric,TESLA,Light,19,90022,34.024529,-118.1560593
12/31/2023,90212,2022,Battery Electric,TESLA,Light,154,90212,34.0621605,-118.4018817
12/31/2023,90031,2022,Battery Electric,TESLA,Light,65,90031,34.0812331,-118.2108252
12/31/2023,91331,2022,Battery Electric,TESLA,Light,122,91331,34.2560278,-118.4193967
12/31/2023,91352,2022,Battery Electric,TESLA,Light,116,91352,34.2318387,-118.3660143
12/31/2023,91202,2022,Battery Electric,TESLA,Light,136,91202,34.1822514,-118.2675676
12/31/2023,90245,2022,Battery Electric,TESLA,Light,77,90245,33.9170892,-118.4015267
12/31/2023,90047,2023,Battery Electric,TESLA,Light,123,90047,33.9545377,-118.3090195
12/31/2023,90241,2023,Battery Electric,TESLA,Light,216,90241,33.9407201,-118.1295825
12/31/2023,90501,2023,Battery Electric,TESLA,Light,251,90501,33.8336078,-118.3142124
12/31/2023,91502,2021,Battery Electric,TESLA,Light,29,91502,34.1768368,-118.3093604
12/31/2023,90222,2021,Battery Electric,TESLA,Light,11,90222,33.9120938,-118.2372336
12/31/2023,90723,2019,Battery Electric,TESLA,Light,11,90723,33.8976503,-118.1650961
12/31/2023,90057,2022,Battery Electric,TESLA,Light,35,90057,34.0620568,-118.2770492
12/31/2023,90040,2022,Battery Electric,TESLA,Light,28,90040,33.9931665,-118.1489007
12/31/2023,90301,2017,Battery Electric,OTHER/UNK,Light,6,90301,33.9564643,-118.3586812
12/31/2023,90805,2017,Battery Electric,OTHER/UNK,Light,15,90805,33.8649374,-118.1805268
12/31/2023,90254,2010,Battery Electric,OTHER/UNK,Light,1,90254,33.8648081,-118.3992715
12/31/2023,90277,2013,Battery Electric,TESLA,Light,14,90277,33.8296245,-118.3871662
12/31/2023,91505,2012,Battery Electric,OTHER/UNK,Light,7,91505,34.1758872,-118.3469255
12/31/2023,90601,2012,Battery Electric,OTHER/UNK,Light,2,90601,34.0078375,-118.032873
12/31/2023,90293,2012,Battery Electric,OTHER/UNK,Light,2,90293,33.9464576,-118.441095
12/31/2023,90402,2017,Battery Electric,TESLA,Light,13,90402,34.0349647,-118.5046657
