station_id,latitude,longitude,num_chargers,charger_speed,average_vehicle_distance_km
311291,41.95454817359669,-75.27938221780994,1.0,7.2,3864.623821640831
311290,42.411672921057885,-73.26333658293544,1.0,120.0,4024.846410422206
311289,42.62486305041975,-73.70265286385518,1.0,240.0,3987.014931496643
311288,40.45715368712365,-74.39459608300285,1.0,240.0,3955.7757836500678
311277,39.025733802725455,-94.24962996267745,1.0,400.0,2282.1660739817976
311276,32.79321951069673,-97.05808559989504,1.0,400.0,2114.701270129425
311255,38.03633326655236,-78.51417960980038,1.0,25.0,3644.4268199178473
311247,47.38668102427937,-122.18607816241465,1.0,150.0,1311.315391832045
311235,42.35764521282542,-88.06840312134125,1.0,150.0,2817.115560470977
311233,34.17519270988271,-82.02255955794413,1.0,150.0,3421.7454430843404
311232,33.07665945170558,-116.59711187722712,1.0,62.0,437.7923398806445
311231,41.08445878794839,-111.97922098814816,1.0,350.0,943.0759992284735
311230,41.02832207997864,-77.52166789687607,1.0,350.0,3688.1544922108687
311229,43.5392919274984,-123.28792976328268,1.0,350.0,929.8651126358501
311228,35.53098583638754,-119.18807039329766,1.0,350.0,307.2868229008098
311227,39.00293656591765,-93.73493709694452,1.0,350.0,2326.138546253987
311226,42.35992563926351,-88.00052452011288,1.0,150.0,2822.654224125064
309482,36.83921292277964,-121.39554278998855,1.0,350.0,349.0188073575596
309472,37.98977960021405,-121.69756073685744,1.0,180.0,386.34108885438087
309471,35.45786596731854,-79.15142571674193,1.0,150.0,3642.9050591866912
309470,34.69911412220576,-79.8821816984971,1.0,150.0,3597.6581544381675
309469,34.21638867863879,-80.24846147155853,1.0,150.0,3578.1648608220135
309468,42.18335682126252,-71.18777428626686,1.0,240.0,4196.62395830597
309467,42.20136278433358,-71.18890390926208,1.0,180.0,4196.292739193066
309379,34.13853417668945,-82.13121362784486,2.0,150.0,3413.070067077555
309378,34.902852224750134,-79.71125827333924,2.0,150.0,3607.473833160934
309377,33.968532006106074,-80.04545027635909,2.0,150.0,3603.0877947073454
309376,33.87412619887124,-79.7552998100505,2.0,150.0,3631.544549750824
